s.no.,Division/ Seat No.,Name of Member,Session,From Date,To Date,State,Total Sittings,No of days member signed the register
69,77,Shri Derek O Brien,239,25/04/2016,13/05/2016,West Bangal,15,4
70,78,Shri Sharad Pawar,239,25/04/2016,13/05/2016,Maharashtra,15,10
71,79,Shri Sukhendu Sekhar Roy,239,25/04/2016,13/05/2016,West Bangal,15,14
72,81,Shri C.M. Ramesh,239,25/04/2016,13/05/2016,Telangana,15,9
73,82,Shri Praful Patel,239,25/04/2016,13/05/2016,Maharashtra,15,6
74,83,Shri Devender Goud T.,239,25/04/2016,13/05/2016,Andhra Pradesh,15,15
75,85,Shri Baishnab Parida,239,25/04/2016,13/05/2016,Odisha,15,11
76,85,Shri A.U. Singh Deo,239,25/04/2016,13/05/2016,Odisha,15,15
77,86,Shri Tiruchi Siva,239,25/04/2016,13/05/2016,Tamilnadu,15,1
78,87,*Shri Mukul Roy,239,25/04/2016,13/05/2016,West Bangal,15,3
79,88,Dr. Kanwar Deep Singh,239,25/04/2016,13/05/2016,West Bangal,15,13
80,89,Dr. Mahendra Prasad,239,25/04/2016,13/05/2016,Bihar,15,10
81,93,Dr. K.P. Ramalingam,239,25/04/2016,13/05/2016,Tamilnadu,15,15
82,93,Smt. Sarojini Hembram,239,25/04/2016,13/05/2016,Odisha,15,10
83,94,*Shri Anubhav Mohanty,239,25/04/2016,13/05/2016,Odisha,15,3
84,95,Shri K.C. Tyagi,239,25/04/2016,13/05/2016,Bihar,15,13
85,95,Shri D.P. Tripathi,239,25/04/2016,13/05/2016,Maharashtra,15,15
86,96,Shri Md. Nadimul Haque,239,25/04/2016,13/05/2016,West Bangal,15,12
87,98,Ms. Anu Aga,239,25/04/2016,13/05/2016,Nominated,15,14
88,100,Smt. M.C. Mary Kom,239,25/04/2016,13/05/2016,Nominated,15,1
89,101,Shri K. Parasaran,239,25/04/2016,13/05/2016,Nominated,15,13
90,102,Shri K.T.S. Tulsi,239,25/04/2016,13/05/2016,Nominated,15,14
91,103,Shri Sachin Ramesh Tendulkar,239,25/04/2016,13/05/2016,Nominated,15,2
